Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-02T05:30+01:00;QH;KWH;0,01391
2019-01-02T05:45+01:00;QH;KWH;0,01397
2019-01-02T06:00+01:00;QH;KWH;0,03461
2019-01-02T06:15+01:00;QH;KWH;0,01793
2019-01-02T06:30+01:00;QH;KWH;0,01499
2019-01-02T06:45+01:00;QH;KWH;0,02720
2019-01-02T07:00+01:00;QH;KWH;0,03082
2019-01-02T07:15+01:00;QH;KWH;0,03453
2019-01-02T07:30+01:00;QH;KWH;0,04368
2019-01-02T07:45+01:00;QH;KWH;0,02119
2019-01-02T08:00+01:00;QH;KWH;0,03764
2019-01-02T08:15+01:00;QH;KWH;0,04196
2019-01-02T08:30+01:00;QH;KWH;0,01529
2019-01-02T08:45+01:00;QH;KWH;0,01128
2019-01-02T09:00+01:00;QH;KWH;0,02610
2019-01-02T09:15+01:00;QH;KWH;0,03892
2019-01-02T09:30+01:00;QH;KWH;0,03286
2019-01-02T09:45+01:00;QH;KWH;0,02846
2019-01-02T10:00+01:00;QH;KWH;0,02262
2019-01-02T10:15+01:00;QH;KWH;0,02055
2019-01-02T10:30+01:00;QH;KWH;0,02260
2019-01-02T10:45+01:00;QH;KWH;0,03347
2019-01-02T11:00+01:00;QH;KWH;0,05048
2019-01-02T11:15+01:00;QH;KWH;0,00783
2019-01-02T11:30+01:00;QH;KWH;0,06809
2019-01-02T11:45+01:00;QH;KWH;0,02470
2019-01-02T12:00+01:00;QH;KWH;0,03461
2019-01-02T12:15+01:00;QH;KWH;0,06863
2019-01-02T12:30+01:00;QH;KWH;0,05065
2019-01-02T12:45+01:00;QH;KWH;0,01831
2019-01-02T13:00+01:00;QH;KWH;0,04292
2019-01-02T13:15+01:00;QH;KWH;0,03851
2019-01-02T13:30+01:00;QH;KWH;0,04653
2019-01-02T13:45+01:00;QH;KWH;0,04265
2019-01-02T14:00+01:00;QH;KWH;0,05931
2019-01-02T14:15+01:00;QH;KWH;0,06259
2019-01-02T14:30+01:00;QH;KWH;0,00474
2019-01-02T14:45+01:00;QH;KWH;0,02157
2019-01-02T15:00+01:00;QH;KWH;0,03222
2019-01-02T15:15+01:00;QH;KWH;0,03038
2019-01-02T15:30+01:00;QH;KWH;0,03344
2019-01-02T15:45+01:00;QH;KWH;0,03339
2019-01-02T16:00+01:00;QH;KWH;0,00363
2019-01-02T16:15+01:00;QH;KWH;0,01383
2019-01-02T16:30+01:00;QH;KWH;0,03522
2019-01-02T16:45+01:00;QH;KWH;0,06578
2019-01-02T17:00+01:00;QH;KWH;0,04862
2019-01-02T17:15+01:00;QH;KWH;0,01582
2019-01-02T17:30+01:00;QH;KWH;0,04338
2019-01-02T17:45+01:00;QH;KWH;0,04133
2019-01-02T18:00+01:00;QH;KWH;0,05190
2019-01-02T18:15+01:00;QH;KWH;0,04056
2019-01-02T18:30+01:00;QH;KWH;0,06296
2019-01-02T18:45+01:00;QH;KWH;0,08103
2019-01-02T19:00+01:00;QH;KWH;0,05117
2019-01-02T19:15+01:00;QH;KWH;0,00713
2019-01-02T19:30+01:00;QH;KWH;0,02032
2019-01-02T19:45+01:00;QH;KWH;0,02976
2019-01-02T20:00+01:00;QH;KWH;0,04458
2019-01-02T20:15+01:00;QH;KWH;0,00550
2019-01-02T20:30+01:00;QH;KWH;0,02878
2019-01-02T20:45+01:00;QH;KWH;0,02034
2019-01-02T21:00+01:00;QH;KWH;0,03511
2019-01-02T21:15+01:00;QH;KWH;0,05322
2019-01-02T21:30+01:00;QH;KWH;0,05366
2019-01-02T21:45+01:00;QH;KWH;0,04479
2019-01-02T22:00+01:00;QH;KWH;0,02032
2019-01-02T22:15+01:00;QH;KWH;0,04945
2019-01-02T22:30+01:00;QH;KWH;0,03667
2019-01-02T22:45+01:00;QH;KWH;0,02970
2019-01-02T23:00+01:00;QH;KWH;0,01888
2019-01-02T23:15+01:00;QH;KWH;0,03124
2019-01-02T23:30+01:00;QH;KWH;0,00938
2019-01-02T23:45+01:00;QH;KWH;0,01757
2019-01-03T00:00+01:00;QH;KWH;0,02155
2019-01-03T00:15+01:00;QH;KWH;0,01957
2019-01-03T00:30+01:00;QH;KWH;0,01526
2019-01-03T00:45+01:00;QH;KWH;0,00886
2019-01-03T01:00+01:00;QH;KWH;0,01898
2019-01-03T01:15+01:00;QH;KWH;0,02109
2019-01-03T01:30+01:00;QH;KWH;0,03145
2019-01-03T01:45+01:00;QH;KWH;0,01133
2019-01-03T02:00+01:00;QH;KWH;0,01116
2019-01-03T02:15+01:00;QH;KWH;0,01913
2019-01-03T02:30+01:00;QH;KWH;0,02626
2019-01-03T02:45+01:00;QH;KWH;0,00656
2019-01-03T03:00+01:00;QH;KWH;0,02033
2019-01-03T03:15+01:00;QH;KWH;0,01006
2019-01-03T03:30+01:00;QH;KWH;0,02141
2019-01-03T03:45+01:00;QH;KWH;0,00773
2019-01-03T04:00+01:00;QH;KWH;0,01956
2019-01-03T04:15+01:00;QH;KWH;0,01821
2019-01-03T04:30+01:00;QH;KWH;0,01786
2019-01-03T04:45+01:00;QH;KWH;0,01431
2019-01-03T05:00+01:00;QH;KWH;0,01936
2019-01-03T05:15+01:00;QH;KWH;0,01621
2019-01-03T05:30+01:00;QH;KWH;0,00792
2019-01-03T05:45+01:00;QH;KWH;0,01878
2019-01-03T06:00+01:00;QH;KWH;0,03914
2019-01-03T06:15+01:00;QH;KWH;0,02422
2019-01-03T06:30+01:00;QH;KWH;0,03375
2019-01-03T06:45+01:00;QH;KWH;0,03957
2019-01-03T07:00+01:00;QH;KWH;0,03585
2019-01-03T07:15+01:00;QH;KWH;0,02151
2019-01-03T07:30+01:00;QH;KWH;0,04439
2019-01-03T07:45+01:00;QH;KWH;0,03465
2019-01-03T08:00+01:00;QH;KWH;0,01915
2019-01-03T08:15+01:00;QH;KWH;0,04789
2019-01-03T08:30+01:00;QH;KWH;0,03469
2019-01-03T08:45+01:00;QH;KWH;0,04451
2019-01-03T09:00+01:00;QH;KWH;0,03565
2019-01-03T09:15+01:00;QH;KWH;0,03957
